자치구,Shadow_Score,위험등급,전이확률_정규화_평균,Avoidance,행정동수,고위험_행정동수,고위험_비율,대표행정동,대표행정동점수,고위험동_목록
노원구,31.59,최고위험,8.79,100.0,19,2,10.5,상계2동,84.19,상계2동;공릉1동
강남구,31.25,최고위험,21.93,59.2,22,3,13.6,역삼2동,89.8,역삼2동;삼성2동;대치4동
금천구,31.19,최고위험,21.72,59.6,10,1,10.0,독산1동,85.55,독산1동
강북구,29.35,최고위험,17.87,63.8,13,2,15.4,미아동,80.71,미아동;수유1동
영등포구,28.29,최고위험,15.26,67.4,18,2,11.1,대림3동,78.29,대림3동;대림2동
광진구,26.43,최고위험,16.41,56.5,15,2,13.3,화양동,82.62,화양동;군자동
도봉구,25.37,최고위험,7.33,79.5,14,1,7.1,방학1동,74.43,방학1동
은평구,25.17,고위험,10.96,67.8,16,1,6.2,역촌동,87.55,역촌동
강서구,24.03,고위험,14.6,52.3,20,2,10.0,발산1동,85.85,발산1동;가양1동
마포구,23.73,고위험,14.91,50.2,16,1,6.2,공덕동,86.8,공덕동
강동구,22.72,고위험,12.42,53.6,18,2,11.1,암사1동,84.57,암사1동;천호3동
송파구,21.53,고위험,8.5,60.6,27,1,3.7,문정2동,89.86,문정2동
성동구,19.44,고위험,6.52,58.2,17,1,5.9,마장동,69.07,마장동
용산구,17.52,중위험,6.46,50.7,16,0,0.0,한강로동,62.53,
중랑구,16.86,중위험,8.37,42.3,16,1,6.2,상봉2동,66.01,상봉2동
성북구,15.92,중위험,6.36,44.6,20,0,0.0,종암동,61.65,
종로구,14.6,중위험,4.7,44.3,15,0,0.0,사직동,30.02,
동작구,13.85,중위험,4.8,41.0,15,0,0.0,노량진2동,31.36,
관악구,13.63,중위험,12.87,15.9,21,0,0.0,청룡동,59.38,
서초구,12.5,저위험,16.67,0.0,18,1,5.6,서초2동,68.7,서초2동
구로구,11.97,저위험,4.69,33.8,15,0,0.0,구로5동,32.47,
중구,11.34,저위험,8.95,18.5,12,0,0.0,명동,33.94,
동대문구,11.31,저위험,4.58,31.5,14,0,0.0,장안2동,18.34,
서대문구,8.2,저위험,7.93,9.0,14,0,0.0,연희동,49.97,
양천구,4.64,저위험,1.49,14.1,18,0,0.0,신정4동,11.66,
