자치구,Dependency,Dependency_std,n_행정동,Avoidance,n_가구주,n_지역사회,Quadrant
강남구,40.47244691128835,17.173545043195052,22,59.2,160,82,Q1
강동구,24.885585731595363,16.428008921478675,18,53.6,116,57,Q4
강북구,66.65117198561666,9.359802211366302,13,63.8,156,75,Q1
강서구,55.82413002708897,9.918027180739864,20,52.3,178,124,Q1
관악구,59.71647532389355,11.255305627209985,21,15.9,244,122,Q2
광진구,65.25202009677943,8.479038579821134,15,56.5,118,66,Q1
구로구,77.62496816466395,15.185136843386726,15,33.8,76,42,Q2
금천구,100.0,14.761451298718713,10,59.6,122,54,Q1
노원구,16.105328961077436,10.996985232804779,19,100.0,141,84,Q4
도봉구,30.279125611486535,8.869347759014172,14,79.5,72,38,Q4
동대문구,79.97201797993631,14.551690736704908,14,31.5,123,88,Q2
동작구,32.57854645643769,8.582329576075542,15,41.0,118,72,Q3
마포구,53.48336458984511,10.26396406527874,16,50.2,71,36,Q2
서대문구,29.40592782226461,11.055288128510972,14,9.0,57,24,Q3
서초구,8.49328177938311,14.820645598209019,18,0.0,132,56,Q3
성동구,22.89896996514802,10.857309817380555,17,58.2,82,31,Q4
성북구,23.956379801347527,9.556231089272533,20,44.6,103,42,Q3
송파구,15.480334123106898,13.933904826131966,27,60.6,202,83,Q4
양천구,15.284820139998345,9.345113364258872,18,14.1,44,26,Q3
영등포구,64.18389633642812,13.458977857449666,18,67.4,225,105,Q1
용산구,0.0,13.799273833551288,16,50.7,108,57,Q4
은평구,59.38737236924361,9.800184947234413,16,67.8,102,50,Q1
종로구,8.277187376999873,22.28348737347477,15,44.3,85,63,Q3
중구,49.489476974369715,11.458343526166262,12,18.5,88,37,Q2
중랑구,69.66729179690212,11.517709190633358,16,42.3,144,86,Q2
